,ASX code,Company name,Security type,ISIN code,hashtags,cashtags
267,BAT,BATTERY MINERALS LTD,ORDINARY FULLY PAID,AU000000BAT1,#BAT,$BAT
268,BMH,BAUMART HOLDINGS LTD,ORDINARY FULLY PAID,AU000000BMH1,#BMH,$BMH
269,BBX,BBX MINERALS LTD,ORDINARY FULLY PAID,AU000000BBX1,#BBX,$BBX
270,BDX,BCALDIAGNOSTICS,ORDINARY FULLY PAID,AU0000160921,#BDX,$BDX
271,BCI,BCI MINERALS LTD,ORDINARY FULLY PAID,AU000000BCI0,#BCI,$BCI
272,BPT,BEACH ENERGY LIMITED,ORDINARY FULLY PAID,AU000000BPT9,#BPT,$BPT
273,BLX,BEACON LIGHTING GRP,ORDINARY FULLY PAID,AU000000BLX0,#BLX,$BLX
274,BCN,BEACON MINERALS,ORDINARY FULLY PAID,AU000000BCN0,#BCN,$BCN
275,BCC,BEAM COMMUNICATIONS,ORDINARY FULLY PAID,AU0000031395,#BCC,$BCC
276,BMT,BEAMTREE HOLDINGS,ORDINARY FULLY PAID,AU0000170979,#BMT,$BMT
277,BGA,BEGA CHEESE LTD,ORDINARY FULLY PAID,AU000000BGA8,#BGA,$BGA
278,BRX,BELARAROXLIMITED,ORDINARY FULLY PAID,AU0000185852,#BRX,$BRX
279,BFG,BELL FINANCIAL GROUP,ORDINARY FULLY PAID,AU000000BFG7,#BFG,$BFG
280,BGL,BELLEVUE GOLD LTD,ORDINARY FULLY PAID,AU0000019374,#BGL,$BGL
281,BEN,BENDIGO AND ADELAIDE,ORDINARY FULLY PAID,AU000000BEN6,#BEN,$BEN
282,BHD,BENJAMIN HORNGLD LTD,ORDINARY FULLY PAID,AU000000BHD0,#BHD,$BHD
283,BEL,BENTLEY CAPITAL LTD,ORDINARY FULLY PAID,AU000000BEL0,#BEL,$BEL
284,BNZAA,BENZMINING,ORDINARY FULLY PAID,AU0000129173,#BNZAA,$BNZAA
285,BKY,BERKELEY ENERGIA LTD,ORDINARY FULLY PAID,AU000000BKY0,#BKY,$BKY
286,BST,BEST & LESS,ORDINARY FULLY PAID,AU0000160798,#BST,$BST
287,BFC,BESTON GLOBAL LTD,ORDINARY FULLY PAID,AU000000BFC6,#BFC,$BFC
288,BET,BETMAKERS TECH GROUP,ORDINARY FULLY PAID,AU0000050585,#BET,$BET
289,BYI,BEYOND INTERNATIONAL,ORDINARY FULLY PAID,AU000000BYI4,#BYI,$BYI
290,BHP,BHP GROUP LIMITED,ORDINARY FULLY PAID,AU000000BHP4,#BHP,$BHP
291,BRI,BIG RIV INDUST LTD,ORDINARY FULLY PAID,AU000000BRI8,#BRI,$BRI
292,BRV,BIG RIVER GOLD LTD,ORDINARY FULLY PAID,AU0000052060,#BRV,$BRV
293,BTH,BIGTINCAN HLDGS LTD,ORDINARY FULLY PAID,AU000000BTH6,#BTH,$BTH
294,BEX,BIKEEXCHANGE LTD,ORDINARY FULLY PAID,AU0000130130,#BEX,$BEX
295,BID,BILL IDENTITY LTD,ORDINARY FULLY PAID,AU000000BID8,#BID,$BID
296,BIN,BINGO INDUSTRIES LTD,ORDINARY FULLY PAID,AU000000BIN7,#BIN,$BIN
297,BGT,BIO-GENE TECHNOLOGY,ORDINARY FULLY PAID,AU000000BGT8,#BGT,$BGT
298,BIO,BIOME AUSTRALIA LTD,ORDINARY FULLY PAID,AU0000184137,#BIO,$BIO
299,BNO,BIONOMICS LIMITED,ORDINARY FULLY PAID,AU000000BNO5,#BNO,$BNO
300,BIT,BIOTRON LIMITED,ORDINARY FULLY PAID,AU000000BIT4,#BIT,$BIT
301,BXN,BIOXYNE LTD,ORDINARY FULLY PAID,AU000000BXN6,#BXN,$BXN
302,BIR,BIR FINANCIAL LTD,ORDINARY FULLY PAID,AU000000BIR8,#BIR,$BIR
303,BIS,BISALLOY STEEL,ORDINARY FULLY PAID,AU000000BIS6,#BIS,$BIS
304,BKI,BKI INVESTMENT LTD,ORDINARY FULLY PAID,AU000000BKI3,#BKI,$BKI
305,BCA,BLACK CANYON LIMITED,ORDINARY FULLY PAID,AU0000141293,#BCA,$BCA
306,BC8,BLACK CAT SYNDICATE,ORDINARY FULLY PAID,AU000000BC88,#BC8,$BC8
307,BKT,BLACK ROCK MINING,ORDINARY FULLY PAID,AU000000BKT0,#BKT,$BKT
308,BEM,BLACKEARTH MINERALS,ORDINARY FULLY PAID,AU000000BEM8,#BEM,$BEM
309,BKL,BLACKMORES LIMITED,ORDINARY FULLY PAID,AU000000BKL7,#BKL,$BKL
310,BSX,BLACKSTONE LTD,ORDINARY FULLY PAID,AU000000BSX5,#BSX,$BSX
311,BWF,BLACKWALL LIMITED,ORDINARY FULLY PAID,AU000000BWF4,#BWF,$BWF
312,BLZ,BLAZE MINERALS LTD,ORDINARY FULLY PAID,AU000000BLZ5,#BLZ,$BLZ
313,BGH,BLIGH RESOURCES LTD,ORDINARY FULLY PAID,AU000000BGH3,#BGH,$BGH
314,BLU,BLUE ENERGY LIMITED.,ORDINARY FULLY PAID,AU0000044364,#BLU,$BLU
315,BNL,BLUE STAR HELIUM LTD,ORDINARY FULLY PAID,AU0000014458,#BNL,$BNL
316,BBT,BLUEBET HOLDINGS LTD,ORDINARY FULLY PAID,AU0000157075,#BBT,$BBT
317,BCT,BLUECHIIP LIMITED,ORDINARY FULLY PAID,AU000000BCT7,#BCT,$BCT
318,BSL,BLUESCOPE STEEL LTD,ORDINARY FULLY PAID,AU000000BSL0,#BSL,$BSL
319,BLG,BLUGLASS LIMITED,ORDINARY FULLY PAID,AU000000BLG5,#BLG,$BLG
320,BMG,BMG RESOURCES LTD,ORDINARY FULLY PAID,AU000000BMG3,#BMG,$BMG
321,BBC,BNK BANK CORP LTD,ORDINARY FULLY PAID,AU0000041857,#BBC,$BBC
322,BML,BOAB METALS LTD,ORDINARY FULLY PAID,AU0000131849,#BML,$BML
323,BOA,BOADICEA RESOURCES,ORDINARY FULLY PAID,AU000000BOA2,#BOA,$BOA
324,BOD,BOD AUSTRALIA.,ORDINARY FULLY PAID,AU0000181331,#BOD,$BOD
325,BKG,BOOKTOPIA GROUP,ORDINARY FULLY PAID,AU0000114977,#BKG,$BKG
326,BOL,BOOM LOGISTICS,ORDINARY FULLY PAID,AU000000BOL9,#BOL,$BOL
327,BLD,BORAL LIMITED.,ORDINARY FULLY PAID,AU000000BLD2,#BLD,$BLD
328,BOE,BOSS ENERGY LTD,ORDINARY FULLY PAID,AU000000BOE4,#BOE,$BOE
329,BOT,BOTANIX PHARMA LTD,ORDINARY FULLY PAID,AU000000BOT2,#BOT,$BOT
330,BUY,BOUNTY OIL & GAS NL,ORDINARY FULLY PAID,AU000000BUY9,#BUY,$BUY
331,BCB,BOWEN COAL LIMITED,ORDINARY FULLY PAID,AU000000BCB5,#BCB,$BCB
332,BHL,BOYUAN HOLDINGS,ORDINARY FULLY PAID,AU000000BHL3,#BHL,$BHL
333,BPH,BPH ENERGY LTD,ORDINARY FULLY PAID,AU000000BPH4,#BPH,$BPH
334,BPM,BPM MINERALS,ORDINARY FULLY PAID,AU0000119810,#BPM,$BPM
335,BRN,BRAINCHIP LTD,ORDINARY FULLY PAID,AU000000BRN8,#BRN,$BRN
336,BXB,BRAMBLES LIMITED,ORDINARY FULLY PAID,AU000000BXB1,#BXB,$BXB
337,BVS,BRAVURA SOLUTION LTD,ORDINARY FULLY PAID,AU000000BVS9,#BVS,$BVS
338,BRB,BREAKER RES NL,ORDINARY FULLY PAID,AU000000BRB3,#BRB,$BRB
339,BRG,BREVILLE GROUP LTD,ORDINARY FULLY PAID,AU000000BRG2,#BRG,$BRG
340,BKW,BRICKWORKS LIMITED,ORDINARY FULLY PAID,AU000000BKW4,#BKW,$BKW
341,BTR,BRIGHTSTAR RESOURCES,ORDINARY FULLY PAID,AU0000126633,#BTR,$BTR
342,BBL,BRISBANE BRONCOS,ORDINARY FULLY PAID,AU000000BBL6,#BBL,$BBL
343,BCK,BROCKMAN MINING LTD,ORDINARY FULLY PAID,BMG1739E1084,#BCK,$BCK
344,BEE,BROO LTD,ORDINARY FULLY PAID,AU000000BEE5,#BEE,$BEE
345,BRK,BROOKSIDE ENERGY LTD,ORDINARY FULLY PAID,AU000000BRK4,#BRK,$BRK
346,BYH,BRYAH RESOURCES LTD,ORDINARY FULLY PAID,AU000000BYH6,#BYH,$BYH
347,BSA,BSA LIMITED,ORDINARY FULLY PAID,AU000000BSA3,#BSA,$BSA
348,BFL,BSP FINANCIAL GROUP,ORDINARY FULLY PAID,PG000A2PEAQ9,#BFL,$BFL
349,BTC,BTC HEALTH LTD,ORDINARY FULLY PAID,AU000000BTC7,#BTC,$BTC
350,BUB,BUBS AUST LTD,ORDINARY FULLY PAID,AU000000BUB7,#BUB,$BUB
351,BUD,BUDDY TECH,ORDINARY FULLY PAID,AU000000BUD3,#BUD,$BUD
352,BNR,BULLETIN RES LTD,ORDINARY FULLY PAID,AU000000BNR8,#BNR,$BNR
353,BDM,BURGUNDY D MINES LTD,ORDINARY FULLY PAID,AU0000118994,#BDM,$BDM
354,BUR,BURLEYMINERALS,ORDINARY FULLY PAID,AU0000155699,#BUR,$BUR
355,BRU,BURU ENERGY,ORDINARY FULLY PAID,AU000000BRU3,#BRU,$BRU
356,BTN,BUTN LIMITED,ORDINARY FULLY PAID,AU0000156317,#BTN,$BTN
357,BUX,BUXTON RESOURCES LTD,ORDINARY FULLY PAID,AU000000BUX1,#BUX,$BUX
358,BWX,BWX LIMITED,ORDINARY FULLY PAID,AU000000BWX7,#BWX,$BWX
359,BYE,BYRON ENERGY LTD,ORDINARY FULLY PAID,AU000000BYE3,#BYE,$BYE
360,C29,C29METALSLIMITED,ORDINARY FULLY PAID,AU0000174237,#C29,$C29
361,CDM,CADENCE CAPITAL,ORDINARY FULLY PAID,AU000000CDM8,#CDM,$CDM
362,CAD,CAENEUS MINERALS,ORDINARY FULLY PAID,AU000000CAD3,#CAD,$CAD
363,CAI,CALIDUS RESOURCES,ORDINARY FULLY PAID,AU000000CAI2,#CAI,$CAI
364,CE1,CALIMA ENERGY,ORDINARY FULLY PAID,AU000000CE10,#CE1,$CE1
365,CXL,CALIX LIMITED,ORDINARY FULLY PAID,AU0000017840,#CXL,$CXL
366,CHL,CAMPLIFYHOLDINGS,ORDINARY FULLY PAID,AU0000153991,#CHL,$CHL
367,CLB,CANDY CLUB,ORDINARY FULLY PAID,AU0000034712,#CLB,$CLB
368,CGB,CANN GLOBAL LIMITED,ORDINARY FULLY PAID,AU0000038085,#CGB,$CGB
369,CAN,CANN GROUP LTD,ORDINARY FULLY PAID,AU000000CAN2,#CAN,$CAN
370,CAE,CANNINDAH RESOURCES,ORDINARY FULLY PAID,AU000000CAE1,#CAE,$CAE
371,CNR,CANNON RESOURCES,ORDINARY FULLY PAID,AU0000156135,#CNR,$CNR
372,CBY,CANTERBURY RESOURCES,ORDINARY FULLY PAID,AU0000028102,#CBY,$CBY
373,CAY,CANYON RESOURCES LTD,ORDINARY FULLY PAID,AU000000CAY9,#CAY,$CAY
374,CAG,CAPERANGELTD,ORDINARY FULLY PAID,AU000000CAG6,#CAG,$CAG
375,CAJ,CAPITOL HEALTH,ORDINARY FULLY PAID,AU000000CAJ0,#CAJ,$CAJ
376,CAA,CAPRAL LIMITED,ORDINARY FULLY PAID,AU000000CAA9,#CAA,$CAA
377,CRS,CAPRICE RESOURCES,ORDINARY FULLY PAID,AU0000024275,#CRS,$CRS
378,CMM,CAPRICORN METALS,ORDINARY FULLY PAID,AU000000CMM9,#CMM,$CMM
379,CAQ,CAQ HOLDINGS LTD,ORDINARY FULLY PAID,AU000000CAQ5,#CAQ,$CAQ
380,CVV,CARAVEL MINERALS LTD,ORDINARY FULLY PAID,AU000000CVV1,#CVV,$CVV
381,CWX,CARAWINE RESOURCES,ORDINARY FULLY PAID,AU000000CWX5,#CWX,$CWX
382,CRB,CARBINE RESOURCES,ORDINARY FULLY PAID,AU000000CRB1,#CRB,$CRB
383,CRM,CARBON MINERALS LTD,ORDINARY FULLY PAID,AU000000CRM8,#CRM,$CRM
384,CRMAM,CARBON MINERALS LTD,ORDINARY FULLY PAID,AU0000CRMAM1,#CRMAM,$CRMAM
385,CBR,CARBON REVOLUTION,ORDINARY FULLY PAID,AU0000063695,#CBR,$CBR
386,CG1,CARBONXT GROUP,ORDINARY FULLY PAID,AU000000CG18,#CG1,$CG1
387,CDX,CARDIEX LIMITED,ORDINARY FULLY PAID,AU0000015729,#CDX,$CDX
388,CDV,CARDINAL RESO LTD,ORDINARY FULLY PAID,AU000000CDV9,#CDV,$CDV
389,CDD,CARDNO LIMITED,ORDINARY FULLY PAID,AU000000CDD7,#CDD,$CDD
390,CIN,CARLTON INVESTMENTS,ORDINARY FULLY PAID,AU000000CIN5,#CIN,$CIN
391,CL8,CARLY HOLDINGS LTD,ORDINARY FULLY PAID,AU000000CL86,#CL8,$CL8
392,CNB,CARNABY RESOURCE LTD,ORDINARY FULLY PAID,AU0000046203,#CNB,$CNB
393,CVN,CARNARVON PETROLEUM,ORDINARY FULLY PAID,AU000000CVN8,#CVN,$CVN
394,CAV,CARNAVALE RESOURCES,ORDINARY FULLY PAID,AU000000CAV5,#CAV,$CAV
395,CCE,CARNEGIE CLN ENERGY,ORDINARY FULLY PAID,AU000000CCE7,#CCE,$CCE
396,CAR,CARSALES.COM LTD.,ORDINARY FULLY PAID,AU000000CAR3,#CAR,$CAR
397,CCV,CASH CONVERTERS,ORDINARY FULLY PAID,AU000000CCV1,#CCV,$CCV
398,CRW,CASHREWARDS,ORDINARY FULLY PAID,AU0000116816,#CRW,$CRW
399,CPN,CASPIN RESOURCES,ORDINARY FULLY PAID,AU0000110702,#CPN,$CPN
400,CMD,CASSIUS MINING LTD,ORDINARY FULLY PAID,AU000000CMD8,#CMD,$CMD
401,CST,CASTILE RESOURCES,ORDINARY FULLY PAID,AU0000070419,#CST,$CST
402,CCZ,CASTILLO COPPER LTD,ORDINARY FULLY PAID,AU000000CCZ2,#CCZ,$CCZ
403,CDT,CASTLE MINERALS,ORDINARY FULLY PAID,AU000000CDT3,#CDT,$CDT
404,CYL,CATALYST METALS,ORDINARY FULLY PAID,AU000000CYL6,#CYL,$CYL
405,CAT,CATAPULT GRP INT LTD,ORDINARY FULLY PAID,AU000000CAT9,#CAT,$CAT
406,CXU,CAULDRON ENERGY LTD,ORDINARY FULLY PAID,AU000000CXU9,#CXU,$CXU
407,CAZ,CAZALY RESOURCES,ORDINARY FULLY PAID,AU000000CAZ6,#CAZ,$CAZ
408,CDO,CDO OPPORTUNITY FUND,ORDINARY FULLY PAID,AU0000186165,#CDO,$CDO
409,CWP,CEDAR WOODS PROP.,ORDINARY FULLY PAID,AU000000CWP1,#CWP,$CWP
410,CNL,CELAMIN HOLDINGS LTD,ORDINARY FULLY PAID,AU000000CNL9,#CNL,$CNL
411,CDY,CELLMID LIMITED,ORDINARY FULLY PAID,AU000000CDY3,#CDY,$CDY
412,CLT,CELLNET GROUP,ORDINARY FULLY PAID,AU000000CLT6,#CLT,$CLT
413,CLA,CELSIUS RESOURCE LTD,ORDINARY FULLY PAID,AU000000CLA6,#CLA,$CLA
414,CTM,CENTAURUS METALS LTD,ORDINARY FULLY PAID,AU000000CTM4,#CTM,$CTM
415,CTP,CENTRAL PETROLEUM,ORDINARY FULLY PAID,AU000000CTP7,#CTP,$CTP
416,CAF,CENTREPOINT ALLIANCE,ORDINARY FULLY PAID,AU000000CAF8,#CAF,$CAF
417,CXM,CENTREX METALS,ORDINARY FULLY PAID,AU000000CXM6,#CXM,$CXM
418,CVS,CERVANTES CORP LTD,ORDINARY FULLY PAID,AU000000CVS7,#CVS,$CVS
419,CTT,CETTIRE,ORDINARY FULLY PAID,AU0000122210,#CTT,$CTT
420,CFO,CFOAM LIMITED,ORDINARY FULLY PAID,AU000000CFO9,#CFO,$CFO
421,CHN,CHALICE MINING LTD,ORDINARY FULLY PAID,AU000000CHN7,#CHN,$CHN
422,CEL,CHALLENGER EXP LTD,ORDINARY FULLY PAID,AU000000CEL8,#CEL,$CEL
423,CGF,CHALLENGER LIMITED,ORDINARY FULLY PAID,AU000000CGF5,#CGF,$CGF
424,CIA,CHAMPION IRON LTD,ORDINARY FULLY PAID,AU000000CIA2,#CIA,$CIA
425,CCA,CHANGE FINANCIAL LTD,ORDINARY FULLY PAID,AU000000CCA5,#CCA,$CCA
426,CHR,CHARGER METALS,ORDINARY FULLY PAID,AU0000156143,#CHR,$CHR
427,CML,CHASE MINING LIMITED,ORDINARY FULLY PAID,AU0000037616,#CML,$CML
428,CHZ,CHESSER RESOURCES,ORDINARY FULLY PAID,AU000000CHZ1,#CHZ,$CHZ
429,CHM,CHIMERIC THERAPEUTIC,ORDINARY FULLY PAID,AU0000121576,#CHM,$CHM
430,CMC,CHINA MAGNESIUM CORP,ORDINARY FULLY PAID,AU000000CMC0,#CMC,$CMC
431,CDH,CHONGHERR INVESTMENT,ORDINARY FULLY PAID,AU000000CDH8,#CDH,$CDH
432,CII,CI RESOURCES LIMITED,ORDINARY FULLY PAID,AU000000CII5,#CII,$CII
433,CIM,CIMIC GROUP LTD,ORDINARY FULLY PAID,AU000000CIM7,#CIM,$CIM
434,CPT,CIPHERPOINT LIMITED,ORDINARY FULLY PAID,AU0000073827,#CPT,$CPT
435,CRO,CIRRALTO LTD,ORDINARY FULLY PAID,AU000000CRO4,#CRO,$CRO
436,CNW,CIRRUS NET HOLD LTD,ORDINARY FULLY PAID,AU000000CNW6,#CNW,$CNW
437,CTO,CITIGOLD CORP LTD,ORDINARY FULLY PAID,AU000000CTO0,#CTO,$CTO
438,CCX,CITY CHIC COLLECTIVE,ORDINARY FULLY PAID,AU0000031767,#CCX,$CCX
439,CU6,CLARITY PHARMA,ORDINARY FULLY PAID,AU0000165375,#CU6,$CU6
440,CL1,CLASS LIMITED,ORDINARY FULLY PAID,AU000000CL11,#CL1,$CL1
441,CLZ,CLASSIC MIN LTD,ORDINARY FULLY PAID,AU000000CLZ3,#CLZ,$CLZ
442,CSS,CLEAN SEAS LTD,ORDINARY FULLY PAID,AU000000CSS3,#CSS,$CSS
443,CNQ,CLEAN TEQ WATER,ORDINARY FULLY PAID,AU0000153280,#CNQ,$CNQ
444,CWY,CLEANAWAY WASTE LTD,ORDINARY FULLY PAID,AU000000CWY3,#CWY,$CWY
445,CSX,CLEANSPACE HOLDINGS,ORDINARY FULLY PAID,AU0000107831,#CSX,$CSX
446,CVW,CLEARVIEW WEALTH LTD,ORDINARY FULLY PAID,AU000000CVW9,#CVW,$CVW
447,CPV,CLEARVUE TECHNOLOGIE,ORDINARY FULLY PAID,AU0000003816,#CPV,$CPV
448,CAM,CLIME CAPITAL,ORDINARY FULLY PAID,AU000000CAM4,#CAM,$CAM
449,CIW,CLIME INVESTMENT,ORDINARY FULLY PAID,AU000000CIW6,#CIW,$CIW
450,CUV,CLINUVEL PHARMACEUT.,ORDINARY FULLY PAID,AU000000CUV3,#CUV,$CUV
451,CLV,CLOVER CORPORATION,ORDINARY FULLY PAID,AU000000CLV2,#CLV,$CLV
452,CLU,CLUEY LTD,ORDINARY FULLY PAID,AU0000113490,#CLU,$CLU
453,COB,COBALT BLUE LTD,ORDINARY FULLY PAID,AU000000COB8,#COB,$COB
454,CBO,COBRAM ESTATE OLIVES,ORDINARY FULLY PAID,AU0000167066,#CBO,$CBO
455,CBE,COBRE,ORDINARY FULLY PAID,AU0000072555,#CBE,$CBE
456,CCL,COCA-COLA AMATIL,ORDINARY FULLY PAID,AU000000CCL2,#CCL,$CCL
457,COH,COCHLEAR LIMITED,ORDINARY FULLY PAID,AU000000COH5,#COH,$COH
458,COD,CODA MINERALS LTD,ORDINARY FULLY PAID,AU0000105330,#COD,$COD
459,CDA,CODAN LIMITED,ORDINARY FULLY PAID,AU000000CDA3,#CDA,$CDA
460,CDR,CODRUS MINERALS LTD,ORDINARY FULLY PAID,AU0000151136,#CDR,$CDR
461,CGS,COGSTATE LTD,ORDINARY FULLY PAID,AU000000CGS8,#CGS,$CGS
462,CHK,COHIBA MIN LTD,ORDINARY FULLY PAID,AU000000CHK3,#CHK,$CHK
463,CKA,COKAL LTD,ORDINARY FULLY PAID,AU000000CKA8,#CKA,$CKA
464,COL,COLES GROUP,ORDINARY FULLY PAID,AU0000030678,#COL,$COL
465,CLH,COLLECTION HOUSE,ORDINARY FULLY PAID,AU000000CLH1,#CLH,$CLH
466,CKF,COLLINS FOODS LTD,ORDINARY FULLY PAID,AU000000CKF7,#CKF,$CKF
467,CRL,COMET RESOURCES,ORDINARY FULLY PAID,AU000000CRL0,#CRL,$CRL
468,COI,COMET RIDGE LIMITED,ORDINARY FULLY PAID,AU000000COI3,#COI,$COI
469,CBA,COMMONWEALTH BANK.,ORDINARY FULLY PAID,AU000000CBA7,#CBA,$CBA
470,CCG,COMMS GROUP LTD,ORDINARY FULLY PAID,AU000000CCG2,#CCG,$CCG
471,CF1,COMPLII FINTECH LTD,ORDINARY FULLY PAID,AU0000127011,#CF1,$CF1
472,CMP,COMPUMEDICS LIMITED,ORDINARY FULLY PAID,AU000000CMP2,#CMP,$CMP
473,CPU,COMPUTERSHARE LTD,ORDINARY FULLY PAID,AU000000CPU5,#CPU,$CPU
474,CLF,CONCENTRATED LEADERS,ORDINARY FULLY PAID,AU0000007320,#CLF,$CLF
475,CNJ,CONICO LTD,ORDINARY FULLY PAID,AU000000CNJ3,#CNJ,$CNJ
476,CIO,CONNECTED IO LTD,ORDINARY FULLY PAID,AU000000CIO3,#CIO,$CIO
477,CXZ,CONNEXION TELEMATICS,ORDINARY FULLY PAID,AU000000CXZ8,#CXZ,$CXZ
478,CZL,CONS ZINC LTD,ORDINARY FULLY PAID,AU000000CZL3,#CZL,$CZL
479,CWL,CONSOL FINANCIAL HLD,ORDINARY FULLY PAID,AU000000CWL0,#CWL,$CWL
480,CMJ,CONSOLIDATED MEDIA.,ORDINARY FULLY PAID,AU000000CMJ5,#CMJ,$CMJ
481,COG,CONSOLIDATED OPS GP,ORDINARY FULLY PAID,AU000000COG7,#COG,$COG
482,CR1,CONSTELLATION RES,ORDINARY FULLY PAID,AU0000012023,#CR1,$CR1
483,CT1,CONSTELLATION TECH,ORDINARY FULLY PAID,AU000000CT13,#CT1,$CT1
484,CENAA,CONTACT ENERGY LTD,ORDINARY FULLY PAID,AU0000CENAA2,#CENAA,$CENAA
485,CGA,CONTANGO ASSET,ORDINARY FULLY PAID,AU000000CGA6,#CGA,$CGA
486,CBL,CONTROL BIONICS,ORDINARY FULLY PAID,AU0000114183,#CBL,$CBL
487,COE,COOPER ENERGY LTD,ORDINARY FULLY PAID,AU000000COE2,#COE,$COE
488,CPM,COOPERMETALSLIMITED,ORDINARY FULLY PAID,AU0000179137,#CPM,$CPM
489,CSE,COPPER STRIKE LTD,ORDINARY FULLY PAID,AU000000CSE3,#CSE,$CSE
490,COY,COPPERMOLY LIMITED,ORDINARY FULLY PAID,AU000000COY0,#COY,$COY
491,CUS,COPPERSEARCHLIMITED,ORDINARY FULLY PAID,AU0000168684,#CUS,$CUS
492,CZN,CORAZON LTD,ORDINARY FULLY PAID,AU000000CZN9,#CZN,$CZN
493,CXO,CORE LITHIUM,ORDINARY FULLY PAID,AU000000CXO2,#CXO,$CXO
494,CR9,CORELLARES,ORDINARY FULLY PAID,AU0000147811,#CR9,$CR9
495,CTD,CORP TRAVEL LIMITED,ORDINARY FULLY PAID,AU000000CTD3,#CTD,$CTD
496,COO,CORUM GROUP LIMITED,ORDINARY FULLY PAID,AU000000COO1,#COO,$COO
497,C1X,COSMOSEXPLORATION,ORDINARY FULLY PAID,AU0000178113,#C1X,$C1X
498,COS,COSOL LIMITED,ORDINARY FULLY PAID,AU0000072498,#COS,$COS
499,CGC,COSTA GROUP HOLDINGS,ORDINARY FULLY PAID,AU000000CGC2,#CGC,$CGC
500,CGM,COUGAR METALS NL,ORDINARY FULLY PAID,AU000000CGM1,#CGM,$CGM
501,CUP,COUNTPLUS LIMITED,ORDINARY FULLY PAID,AU000000CUP5,#CUP,$CUP
502,CCJ,COUNTY INTERNATIONAL,ORDINARY FULLY PAID,AU000000CCJ6,#CCJ,$CCJ
503,CYG,COVENTRY GROUP,ORDINARY FULLY PAID,AU000000CYG6,#CYG,$CYG
504,CGO,CPT GLOBAL LIMITED,ORDINARY FULLY PAID,AU000000CGO7,#CGO,$CGO
505,CXX,CRADLE RESOURCES LTD,ORDINARY FULLY PAID,AU000000CXX3,#CXX,$CXX
506,CGN,CRATER GOLD MIN LTD,ORDINARY FULLY PAID,AU000000CGN9,#CGN,$CGN
507,CCR,CREDIT CLEAR,ORDINARY FULLY PAID,AU0000107526,#CCR,$CCR
508,CCP,CREDIT CORP GROUP,ORDINARY FULLY PAID,AU000000CCP3,#CCP,$CCP
509,CI1,CREDIT INTELLIGENCE,ORDINARY FULLY PAID,AU0000013518,#CI1,$CI1
510,CFP,CREDIT SUISSE INT.,ORDINARY FULLY PAID,AU000000CFP6,#CFP,$CFP
511,CPH,CRESO PHARMA LTD,ORDINARY FULLY PAID,AU000000CPH2,#CPH,$CPH
512,CRR,CRITICAL RESOURCES,ORDINARY FULLY PAID,AU0000155335,#CRR,$CRR
513,CAU,CRONOS AUSTRALIA,ORDINARY FULLY PAID,AU0000060691,#CAU,$CAU
514,CLI,CROPLOGIC,ORDINARY FULLY PAID,AU000000CLI9,#CLI,$CLI
515,CM8,CROWD MEDIA LIMITED,ORDINARY FULLY PAID,AU000000CM85,#CM8,$CM8
516,CWN,CROWN RESORTS LTD,ORDINARY FULLY PAID,AU000000CWN6,#CWN,$CWN
517,CTE,CRYOSITE LIMITED,ORDINARY FULLY PAID,AU000000CTE1,#CTE,$CTE
518,CSL,CSL LIMITED,ORDINARY FULLY PAID,AU000000CSL8,#CSL,$CSL
519,CSR,CSR LIMITED,ORDINARY FULLY PAID,AU000000CSR5,#CSR,$CSR
520,CLX,CTI LOGISTICS,ORDINARY FULLY PAID,AU000000CLX8,#CLX,$CLX
521,CUE,CUE ENERGY RESOURCE,ORDINARY FULLY PAID,AU000000CUE9,#CUE,$CUE
522,CUL,CULLEN RESOURCES,ORDINARY FULLY PAID,AU000000CUL4,#CUL,$CUL
523,CPO,CULPEOMINERALS,ORDINARY FULLY PAID,AU0000163057,#CPO,$CPO
524,CV1,CV CHECK LTD,ORDINARY FULLY PAID,AU000000CV19,#CV1,$CV1
525,CVC,CVC LIMITED,ORDINARY FULLY PAID,AU000000CVC1,#CVC,$CVC
526,CYQ,CYCLIQ GROUP LTD,ORDINARY FULLY PAID,AU000000CYQ5,#CYQ,$CYQ
527,CLE,CYCLONE METALS,ORDINARY FULLY PAID,AU0000109910,#CLE,$CLE
528,CYC,CYCLOPHARM LIMITED,ORDINARY FULLY PAID,AU000000CYC5,#CYC,$CYC
529,CY5,CYGNUS GOLD LIMITED,ORDINARY FULLY PAID,AU000000CY57,#CY5,$CY5
530,CYP,CYNATA THERAPEUTICS,ORDINARY FULLY PAID,AU000000CYP7,#CYP,$CYP
531,CYM,CYPRIUM METALS LTD,ORDINARY FULLY PAID,AU0000050536,#CYM,$CYM
532,CZR,CZR RESOURCES LTD,ORDINARY FULLY PAID,AU000000CZR0,#CZR,$CZR
533,DCN,DACIAN GOLD LTD,ORDINARY FULLY PAID,AU000000DCN6,#DCN,$DCN
534,DAL,DALAROOMETALSLTD,ORDINARY FULLY PAID,AU0000172025,#DAL,$DAL
535,DTC,DAMSTRA HOLDINGS,ORDINARY FULLY PAID,AU0000058620,#DTC,$DTC
536,DNK,DANAKALI LIMITED,ORDINARY FULLY PAID,AU000000DNK9,#DNK,$DNK
537,DTM,DART MINING NL,ORDINARY FULLY PAID,AU000000DTM2,#DTM,$DTM
